39488	84742087-31e1-11e6-804e-848f69fd6b70
44210	38444
44251	37065
2c169f24-32a3-11e6-95f4-b82a72d5b9fb	ba55567a-31df-11e6-804e-848f69fd6b70
118786A18629FC4AE0500A0AC86471F9	44285
118786A18629FC4AE0500A0AC86471F9	41723
41775	bc5b95e1-32a1-11e6-95f4-b82a72d5b9fb
44251	37061
44251	37062
41805	40854
41764	8006ce94-31e1-11e6-804e-848f69fd6b70
44201	8006ce94-31e1-11e6-804e-848f69fd6b70
42223	41755
38443	981295f6-31e1-11e6-804e-848f69fd6b70
38443	98460929-31e1-11e6-804e-848f69fd6b70
981295f6-31e1-11e6-804e-848f69fd6b70	98460929-31e1-11e6-804e-848f69fd6b70
97c934f9-31e1-11e6-804e-848f69fd6b70	44231
41764	8048ee9f-31e1-11e6-804e-848f69fd6b70
41764	80598414-31e1-11e6-804e-848f69fd6b70
44200	44285
44200	7b2a7261-31e1-11e6-804e-848f69fd6b70
44285	7b2a7261-31e1-11e6-804e-848f69fd6b70
9d6610ae-31e1-11e6-804e-848f69fd6b70	8744fa4f-32a3-11e6-804e-848f69fd6b70
41852	8744f521-32a3-11e6-804e-848f69fd6b70
9d6610ae-31e1-11e6-804e-848f69fd6b70	9e19227c-31e1-11e6-804e-848f69fd6b70
8744fa4f-32a3-11e6-804e-848f69fd6b70	9e19227c-31e1-11e6-804e-848f69fd6b70
44307	40859
44421	38422
41764	7f79811e-31e1-11e6-804e-848f69fd6b70
41805	44498
42223	38613
41764	8069a502-31e1-11e6-804e-848f69fd6b70
44200	a07f7750-4a66-11e6-804e-848f69fd6b70
87552e57-32a3-11e6-804e-848f69fd6b70	a07f7750-4a66-11e6-804e-848f69fd6b70
44317	bb27fdae-32a1-11e6-95f4-b82a72d5b9fb
37d5336c-31e2-11e6-804e-848f69fd6b70	bb27fdae-32a1-11e6-95f4-b82a72d5b9fb
44200	87552e57-32a3-11e6-804e-848f69fd6b70
44307	40860
44421	41860
28822875-32a3-11e6-95f4-b82a72d5b9fb	820fe966-31df-11e6-804e-848f69fd6b70
44392	b3f126b3-da9c-11e5-a258-f98ed89254eb
c41dc7e7-32a1-11e6-95f4-b82a72d5b9fb	40785
c41dc7e7-32a1-11e6-95f4-b82a72d5b9fb	41729
