主症状	mainSymptom
孕妇期哺乳期选项	pregLactChoi
性别	sex
年龄	age
危急情况提示	critSitu
病程	time
具体症状	specSymp
加重时间(非必填)	aggrTime
部位	bodyPart
放射部位	relaSite
诱因	reason
性质	property
表现形式	exprForm
频次	frequency
发作特点	attaFeat
程度	dgree
每次发作时间	timeAtta
缓解因素	reliFact
加重因素	aggrFact
伴随症状	accoSymp
诊治过程	treatment
疾病史	diseHist
手术史	operHist
手术距今时长	operTime
过敏史	alleHist
输血史	blooTranHist
个人史	persHist
家族史	famiHist
末次月经日期	mensLastTime
症状与月经周期关系	sympMensRela
避孕情况	contraception
最近一次月经	lastMens
重点体征	keySign
一般体征	sign
体格检查_胸部	phsiExamChes
体格检查_腹部	phsiExamAbdo
体格检查_心脏	phsiExamHear
体温	signTemp
脉搏	pulse
呼吸	breach
血压	blooPres
身高	height
体重	weight
重点体征	keySign
一般体征	sign
伴随症状_腹痛_部位	accoSympAbdoPainBodyPart
伴随症状_腹痛_发作特点	accoSympAbdoPainAttaFeat
伴随症状_腹痛_便后缓解	accoSympReliAfteDisc
伴随症状_腹泻_频次	accoSympDiarFreq
伴随症状_腹泻_大便性状	accoSympFecaChar
伴随症状_体重下降_时间	accoSympWeigLossTime
伴随症状_体重下降_体重下降量	accoSympWeigLossAmou
伴随症状_体重增加_时间	accoSympGainWeigTime
伴随症状_体重增加_体重增加量	accoSympGainWeigAmou
伴随症状_呕吐_频次	accoSympVomiFreq
伴随症状_呕吐_性状	accoSympVomiChar
伴随症状_便秘_时间	accoSympConsTime
伴随症状_便秘_频次	accoSympConsFreq
伴随症状_流涕_性状	accoSympRunnNoseChar
伴随症状_咳痰_性状	accoSympExpeChar
伴随症状_鼻出血_持续时间	accoSympEpisTime
伴随症状_白带异常_时间	accoSympLeucTime
伴随症状_白带异常_性状	accoSympLeucChar
伴随症状_月经异常_时间	accoSympAbnoMensTime
伴随症状_月经异常_表现形式	accoSympAbnoMensExprForm
伴随症状_阴道流血_时间	accoSympAbnoVagiHemoTime
伴随症状_阴道流血_出血量	accoSympAbnoVagiHemoAmou
伴随症状_血尿_时间	accoSympHemaTime
伴随症状_血尿_表现形式	accoSympHemaExprForm
伴随症状_腰痛_部位	accoSympLumbBodyPart
伴随症状_腰痛_诱因	accoSympLumbReas
伴随症状_腰痛_缓解因素	accoSympLumbReliFact
伴随症状_腿痛_部位	accoSympLegPainBodyPart
伴随症状_腿痛_诱因	accoSympLegPainReas
伴随症状_腿痛_缓解因素	accoSympLegPainReliFact
伴随症状_关节痛_部位	accoSympJoinPainBodyPart
伴随症状_排尿困难_时间	accoSympDysuTime
伴随症状_排尿困难_缓解情况	accoSympDysuReliSitu
伴随症状_水肿_时间	accoSympEdemTime
伴随症状_水肿_部位	accoSympEdemBodyPart
伴随症状_手足麻木_时间	accoSympHandFeetNumbTime
伴随症状_手足麻木_部位	accoSympHandFeetNumbBodyPart
伴随症状_便血_时间	accoSympBlooStooTime
伴随症状_便血_便血性状	accoSympBlooStooChar
伴随症状_皮疹_部位	accoSympRashBodyPart
伴随症状_皮疹_表现形式	accoSympRashExprForm
伴随症状_皮肤黏膜出血_部位	accoSympMucoBodyPart
伴随症状_皮肤黏膜出血_表现形式	accoSympMucoExprForm
伴随症状_咯血_时间	accoSympHemoTime
伴随症状_咯血_表现形式	accoSympHemoExprForm
伴随症状_胸痛_部位	accoSympChesPainBodyPart
伴随症状_胸痛_性质	accoSympChesPainChar
伴随症状_胸痛_每次发作时间	accoSympChesPainTimeAtta
伴随症状_心悸_脉搏	accoSympPalpPuls
伴随症状_心悸_发作特点	accoSympPalpChar
伴随症状_肛门停止排便_时间	accoSympStopDefeTime
伴随症状_肛门停止排气或排气减少时间	accoSympStopPassWindTime
伴随症状_发热_时间	accoSympFeveTime
伴随症状_发热_最高体温	accoSympFeveMaxiTemp
伴随症状_尿流突然中断_时间	accoSympUrinFlowSuddInteTime
伴随症状_尿流突然中断_缓解情况	accoSympUrinFlowSuddInteReliSitu
伴随症状_大便习惯改变_表现	accoSympStooHabiChanExprForm
重点体征_腹部包块_部位	abdoMass
一般体征_面容	face
一般体征_体位	position
疾病史_高血压_疾病年限	pastHistHypeTime
疾病史_高血压_治疗情况	pastHistHypeTreat
疾病史_高血压_平素收缩血压	pastHistHyperSystPres
疾病史_高血压_平素舒张压	pastHistHyperDiasPres
疾病史_高血压_现治疗用药	pastHistHyperMedi
疾病史_高血压_血压稳定情况	pastHistHypeStab
疾病史_糖尿病_疾病年限	pastHistDiabTime
疾病史_糖尿病_治疗情况	pastHistDiabTrea
疾病史_糖尿病_平素空腹血糖	pastHistDiabFastBlooGluc
疾病史_糖尿病_现治疗用药	pastHistDiabMedi
疾病史_糖尿病_血糖稳定情况	pastHistDiabBlooGlucStab
疾病史_恶性肿瘤_疾病年限	pastHistMaliTumoTime
疾病史_恶性肿瘤_原发肿瘤部位	pastHistMaliTumoPrimTumoSite
疾病史_恶性肿瘤_治疗情况	pastHistMaliTumoTrea
疾病史_恶性肿瘤_转移	pastHistMaliTumoMeta
疾病史_恶性肿瘤_目前病情	pastHistMaliTumoCurrCond
疾病史_肝炎_疾病年限	pastHistHepaTime
疾病史_肝炎_肝炎类型	pastHistHepaType
疾病史_肝炎_抗病毒治疗	pastHistHepaAntiTher
疾病史_肝炎_肝炎急性发作	pastHistHepaAcutAtta
疾病史_结核_疾病年限	pastHistTubeTime
疾病史_结核_发病部位	pastHistTubeSite
疾病史_结核_目前病情	pastHistTubeCurrCond
疾病史_甲状腺功能亢进症_疾病年限	pastHistHypeTime
疾病史_甲状腺功能亢进症_目前病情	pastHistHypeCurrCond
疾病史_甲状腺功能减退症_疾病年限	pastHistHypoTime
疾病史_甲状腺功能减退症_目前病情	pastHistHypoCurrCond
疾病史_消化道溃疡_疾病年限	pastHistPeptTime
疾病史_消化道溃疡_目前病情	pastHistPeptCurrCond
疾病史_幽门螺杆菌感染_疾病年限	pastHistHpTime
疾病史_幽门螺杆菌感染_目前病情	pastHistHpCurrCond
疾病史_冠心病_疾病年限	pastHistCoroDiseTime
