0	17.97%
2	22.54%
4	25.45%
6	27.23%
8	29.56%
10	31.22%
12	33.29%
14	35.44%
16	35.57%
18	37.07%
20	37.38%
22	38.46%
24	40.16%
26	42.94%
28	43.48%
30	45.7%
32	47.09%
34	53.44%
36	62.79%
38	67.19%
40	61.76%
42	59.09%
44	81.82%
46	81.82%
48	81.82%
50	81.82%
52	81.82%
54	81.82%
56	81.82%
58	81.82%
60	81.82%
62	81.82%
64	81.82%
66	81.82%
68	81.82%
70	81.82%
72	81.82%
74	81.82%
76	81.82%
78	81.82%
80	81.82%
82	81.82%
84	81.82%
86	81.82%
88	81.82%
90	81.82%
92	81.82%
94	81.82%
96	81.82%
98	81.82%
100	81.82%
